Nhóm,Câu hỏi,Điểm TB (1-5),% Đồng ý (4-5)
Ý nghĩa công việc,Tôi tự hào khi làm việc ở công ty,3.9,72%
Ý nghĩa công việc,Tôi hiểu rõ công việc của mình đóng góp thế nào,3.7,66%
Ghi nhận,Tôi được ghi nhận xứng đáng khi làm tốt,3.1,48%
Ghi nhận,Quản lý thường xuyên phản hồi công việc của tôi,3.0,45%
Phát triển,Tôi thấy cơ hội phát triển/thăng tiến rõ ràng,2.8,38%
Phát triển,Tôi được đào tạo đủ để làm tốt công việc,3.2,52%
Quản lý,Quản lý trực tiếp hỗ trợ tôi khi cần,4.0,76%
Quản lý,Tôi được đối xử công bằng,3.6,63%
Lương thưởng,Lương thưởng tương xứng với công sức,2.6,33%
Lương thưởng,Phúc lợi đáp ứng nhu cầu của tôi,3.0,46%
Môi trường,Tôi có quan hệ tốt với đồng nghiệp,4.2,84%
Gắn bó,Tôi sẽ giới thiệu công ty cho bạn bè (eNPS),3.2,50%
